company_id,ticker,cik,taxonomy,source_tag,source_unit,form,filing_date,period_start,period_end,fiscal_year,fiscal_period,reported_fiscal_year,frame,duration_days,accession_number,value_raw,source_url,loaded_at
abnb,ABNB,0001559720,us-gaap,NetIncomeLoss,USD,10-K,2024-02-16,2021-01-01,2021-12-31,2021,FY,2023,,364.0,0001559720-24-000006,-352000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,USD,10-K,2023-02-17,2021-01-01,2021-12-31,2021,FY,2022,,364.0,0001559720-23-000003,-352000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,USD,10-K,2024-02-16,2021-01-01,2021-12-31,2021,FY,2023,CY2021,364.0,0001559720-24-000006,-352000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,OperatingIncomeLoss,USD,10-K,2022-02-25,2021-01-01,2021-12-31,2021,FY,2021,,364.0,0001559720-22-000006,429317000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,OperatingIncomeLoss,USD,10-K,2023-02-17,2021-01-01,2021-12-31,2021,FY,2022,,364.0,0001559720-23-000003,429000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,OperatingIncomeLoss,USD,10-K,2024-02-16,2021-01-01,2021-12-31,2021,FY,2023,CY2021,364.0,0001559720-24-000006,429000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,USD,10-K,2022-02-25,2021-01-01,2021-12-31,2021,FY,2021,,364.0,0001559720-22-000006,25322000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,USD,10-K,2023-02-17,2021-01-01,2021-12-31,2021,FY,2022,CY2021,364.0,0001559720-23-000003,25000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2022-02-25,2021-01-01,2021-12-31,2021,FY,2021,,364.0,0001559720-22-000006,5991760000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2023-02-17,2021-01-01,2021-12-31,2021,FY,2022,,364.0,0001559720-23-000003,5992000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2024-02-16,2021-01-01,2021-12-31,2021,FY,2023,CY2021,364.0,0001559720-24-000006,5992000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,StockholdersEquity,USD,10-K,2022-02-25,,2021-12-31,2021,FY,2021,,,0001559720-22-000006,4775713000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,StockholdersEquity,USD,10-K,2023-02-17,,2021-12-31,2021,FY,2022,,,0001559720-23-000003,4775000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,StockholdersEquity,USD,10-K,2024-02-16,,2021-12-31,2021,FY,2023,,,0001559720-24-000006,4775000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,StockholdersEquity,USD,10-K,2025-02-13,,2021-12-31,2021,FY,2024,CY2021Q4I,,0001559720-25-000010,4775000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000010/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,Assets,USD,10-K,2023-02-17,,2022-12-31,2022,FY,2022,,,0001559720-23-000003,16038000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,Assets,USD,10-K,2024-02-16,,2022-12-31,2022,FY,2023,CY2022Q4I,,0001559720-24-000006,16038000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,AssetsCurrent,USD,10-K,2023-02-17,,2022-12-31,2022,FY,2022,,,0001559720-23-000003,14861000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,AssetsCurrent,USD,10-K,2024-02-16,,2022-12-31,2022,FY,2023,CY2022Q4I,,0001559720-24-000006,14861000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,CashAndCashEquivalentsAtCarryingValue,USD,10-K,2023-02-17,,2022-12-31,2022,FY,2022,,,0001559720-23-000003,7378000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,CashAndCashEquivalentsAtCarryingValue,USD,10-K,2024-02-16,,2022-12-31,2022,FY,2023,CY2022Q4I,,0001559720-24-000006,7378000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,Liabilities,USD,10-K,2023-02-17,,2022-12-31,2022,FY,2022,,,0001559720-23-000003,10478000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,Liabilities,USD,10-K,2024-02-16,,2022-12-31,2022,FY,2023,CY2022Q4I,,0001559720-24-000006,10478000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,LiabilitiesCurrent,USD,10-K,2023-02-17,,2022-12-31,2022,FY,2022,,,0001559720-23-000003,7978000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,LiabilitiesCurrent,USD,10-K,2024-02-16,,2022-12-31,2022,FY,2023,CY2022Q4I,,0001559720-24-000006,7978000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,10-K,2023-02-17,2022-01-01,2022-12-31,2022,FY,2022,,364.0,0001559720-23-000003,3430000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,10-K,2024-02-16,2022-01-01,2022-12-31,2022,FY,2023,,364.0,0001559720-24-000006,3430000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,10-K,2025-02-13,2022-01-01,2022-12-31,2022,FY,2024,CY2022,364.0,0001559720-25-000010,3430000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000010/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetIncomeLoss,USD,10-K,2023-02-17,2022-01-01,2022-12-31,2022,FY,2022,,364.0,0001559720-23-000003,1893000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetIncomeLoss,USD,10-K,2024-02-16,2022-01-01,2022-12-31,2022,FY,2023,,364.0,0001559720-24-000006,1893000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetIncomeLoss,USD,10-K,2025-02-13,2022-01-01,2022-12-31,2022,FY,2024,,364.0,0001559720-25-000010,1893000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000010/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,USD,10-K,2023-02-17,2022-01-01,2022-12-31,2022,FY,2022,,364.0,0001559720-23-000003,1893000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,USD,10-K,2024-02-16,2022-01-01,2022-12-31,2022,FY,2023,,364.0,0001559720-24-000006,1893000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,USD,10-K,2025-02-13,2022-01-01,2022-12-31,2022,FY,2024,CY2022,364.0,0001559720-25-000010,1893000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000010/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,OperatingIncomeLoss,USD,10-K,2023-02-17,2022-01-01,2022-12-31,2022,FY,2022,,364.0,0001559720-23-000003,1802000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,OperatingIncomeLoss,USD,10-K,2024-02-16,2022-01-01,2022-12-31,2022,FY,2023,,364.0,0001559720-24-000006,1802000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,OperatingIncomeLoss,USD,10-K,2025-02-13,2022-01-01,2022-12-31,2022,FY,2024,CY2022,364.0,0001559720-25-000010,1802000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000010/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,USD,10-K,2023-02-17,2022-01-01,2022-12-31,2022,FY,2022,CY2022,364.0,0001559720-23-000003,25000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2023-02-17,2022-01-01,2022-12-31,2022,FY,2022,,364.0,0001559720-23-000003,8399000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2024-02-16,2022-01-01,2022-12-31,2022,FY,2023,,364.0,0001559720-24-000006,8399000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2025-02-13,2022-01-01,2022-12-31,2022,FY,2024,CY2022,364.0,0001559720-25-000010,8399000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000010/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,StockholdersEquity,USD,10-K,2023-02-17,,2022-12-31,2022,FY,2022,,,0001559720-23-000003,5560000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
