company_id,ticker,accession_number,form,filing_date,period_start,period_end,fiscal_year,fiscal_period,duration_days,canonical_field,taxonomy,source_tag,value_raw,value_standardized,unit,flow_or_stock,source_priority,source_url,loaded_at,cik,source_unit,reported_fiscal_year,frame,is_latest_restated,source_selection_method,source_selection_note
ebay,EBAY,0001065088-21-000006,10-K,2021-02-04,,2019-12-31,2019,FY,,total_assets,us-gaap,Assets,18174000000.0,18174.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508821000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2020,CY2019Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-21-000006,10-K,2021-02-04,,2019-12-31,2019,FY,,total_debt,us-gaap,DebtLongtermAndShorttermCombinedAmount,7758000000.0,7758.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508821000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2020,CY2019Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-22-000006,10-K,2022-02-24,,2019-12-31,2019,FY,,total_equity,us-gaap,StockholdersEquity,2870000000.0,2870.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2021,CY2019Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-21-000006,10-K,2021-02-04,,2019-12-31,2019,FY,,total_liabilities,us-gaap,Liabilities,15304000000.0,15304.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508821000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2020,CY2019Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-23-000006,10-K,2023-02-23,2020-01-01,2020-12-31,2020,FY,365.0,capital_expenditure,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,463000000.0,463.0,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508823000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2022,CY2020,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-22-000006,10-K,2022-02-24,,2020-12-31,2020,FY,,cash_and_equivalents,us-gaap,CashAndCashEquivalentsAtCarryingValue,1101000000.0,1101.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2021,CY2020Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-22-000006,10-K,2022-02-24,,2020-12-31,2020,FY,,current_assets,us-gaap,AssetsCurrent,7190000000.0,7190.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2021,CY2020Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-22-000006,10-K,2022-02-24,,2020-12-31,2020,FY,,current_liabilities,us-gaap,LiabilitiesCurrent,4002000000.0,4002.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2021,CY2020Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-23-000006,10-K,2023-02-23,2020-01-01,2020-12-31,2020,FY,365.0,free_cash_flow,project,derived:OperatingCashFlow-CapitalExpenditure,,1956.0,USD,flow,0,https://www.sec.gov/Archives/edgar/data/1065088/000106508823000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2022,CY2020,True,derived_from_latest_valid_components,Operating cash flow minus positive CapEx outflow.
ebay,EBAY,0001065088-23-000006,10-K,2023-02-23,2020-01-01,2020-12-31,2020,FY,365.0,net_income,us-gaap,NetIncomeLoss,5667000000.0,5667.0,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508823000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2022,CY2020,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
