company_id,ticker,cik,peer_group,fiscal_year,period_start,period_end,duration_days,canonical_field,taxonomy,source_tag,source_priority,value_raw,value_standardized,unit,form,raw_fy,raw_fp,frame,accession_number,filing_date,loaded_at,source_url
real,REAL,0001573221,marketplace_platform,2020,,2020-12-31,,total_equity,us-gaap,StockholdersEquity,1,191293000.0,191.293,USD,10-K,2021,FY,,0001573221-22-000041,2022-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322122000041/
real,REAL,0001573221,marketplace_platform,2020,,2020-12-31,,total_equity,us-gaap,StockholdersEquity,1,191293000.0,191.293,USD,10-K,2022,FY,,0001573221-23-000022,2023-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322123000022/
real,REAL,0001573221,marketplace_platform,2020,,2020-12-31,,total_equity,us-gaap,StockholdersEquity,1,191293000.0,191.293,USD,10-K,2023,FY,CY2020Q4I,0001573221-24-000030,2024-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322124000030/
real,REAL,0001573221,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,net_income,us-gaap,NetIncomeLoss,1,-236107000.0,-236.107,USD,10-K,2021,FY,,0001573221-22-000041,2022-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322122000041/
real,REAL,0001573221,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,net_income,us-gaap,ProfitLoss,2,-236107000.0,-236.107,USD,10-K,2021,FY,,0001573221-22-000041,2022-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322122000041/
real,REAL,0001573221,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,3,-236107000.0,-236.107,USD,10-K,2021,FY,,0001573221-22-000041,2022-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322122000041/
real,REAL,0001573221,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,net_income,us-gaap,NetIncomeLoss,1,-236107000.0,-236.107,USD,10-K,2022,FY,,0001573221-23-000022,2023-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322123000022/
real,REAL,0001573221,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,net_income,us-gaap,ProfitLoss,2,-236107000.0,-236.107,USD,10-K,2022,FY,CY2021,0001573221-23-000022,2023-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322123000022/
real,REAL,0001573221,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,3,-236107000.0,-236.107,USD,10-K,2022,FY,,0001573221-23-000022,2023-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322123000022/
real,REAL,0001573221,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,net_income,us-gaap,NetIncomeLoss,1,-236107000.0,-236.107,USD,10-K,2023,FY,,0001573221-24-000030,2024-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322124000030/
real,REAL,0001573221,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,3,-236107000.0,-236.107,USD,10-K,2023,FY,CY2021,0001573221-24-000030,2024-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322124000030/
real,REAL,0001573221,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,467692000.0,467.692,USD,10-K,2021,FY,,0001573221-22-000041,2022-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322122000041/
real,REAL,0001573221,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,467692000.0,467.692,USD,10-K,2022,FY,,0001573221-23-000022,2023-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322123000022/
real,REAL,0001573221,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,467692000.0,467.692,USD,10-K,2023,FY,CY2021,0001573221-24-000030,2024-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322124000030/
real,REAL,0001573221,marketplace_platform,2021,,2021-12-31,,total_assets,us-gaap,Assets,1,754944000.0,754.944,USD,10-K,2021,FY,,0001573221-22-000041,2022-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322122000041/
