conflict_id,company_id,ticker,fiscal_year,canonical_field,winning_accession,winning_filing_date,winning_source_tag,winning_value,discarded_accession,discarded_filing_date,discarded_source_tag,discarded_value,relative_difference,conflict_severity,resolution_rule,resolution_status,review_note,created_at
B1-00060,byon,BYON,2017,total_equity,0001130713-20-000014,2020-03-13,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,172.123,0001130713-18-000019,2018-03-15,StockholdersEquity,175.628,0.02036334481736895,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00061,byon,BYON,2017,total_equity,0001130713-20-000014,2020-03-13,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,172.123,0001130713-18-000019,2018-03-15,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,172.123,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00062,byon,BYON,2018,net_income,0001130713-21-000019,2021-02-26,NetIncomeLoss,-206.07,0001130713-21-000019,2021-02-26,ProfitLoss,-217.57,0.0558062794196147,high,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00063,byon,BYON,2018,net_income,0001130713-21-000019,2021-02-26,NetIncomeLoss,-206.07,0001130713-21-000019,2021-02-26,NetIncomeLossAvailableToCommonStockholdersBasic,-204.877,0.005789294899791254,medium,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00064,byon,BYON,2018,net_income,0001130713-21-000019,2021-02-26,NetIncomeLoss,-206.07,0001130713-20-000014,2020-03-13,NetIncomeLoss,-206.07,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00065,byon,BYON,2018,net_income,0001130713-21-000019,2021-02-26,NetIncomeLoss,-206.07,0001130713-20-000014,2020-03-13,ProfitLoss,-217.57,0.0558062794196147,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00066,byon,BYON,2018,net_income,0001130713-21-000019,2021-02-26,NetIncomeLoss,-206.07,0001130713-20-000014,2020-03-13,NetIncomeLossAvailableToCommonStockholdersBasic,-204.877,0.005789294899791254,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00067,byon,BYON,2018,net_income,0001130713-21-000019,2021-02-26,NetIncomeLoss,-206.07,0001130713-19-000016,2019-03-18,NetIncomeLoss,-206.07,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00068,byon,BYON,2018,net_income,0001130713-21-000019,2021-02-26,NetIncomeLoss,-206.07,0001130713-19-000016,2019-03-18,ProfitLoss,-217.57,0.0558062794196147,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00069,byon,BYON,2018,net_income,0001130713-21-000019,2021-02-26,NetIncomeLoss,-206.07,0001130713-19-000016,2019-03-18,NetIncomeLossAvailableToCommonStockholdersBasic,-204.877,0.005789294899791254,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
