company_id,ticker,peer_group,fiscal_year,canonical_field,coverage_verified,fact_available,winning_tag,winning_accession,winning_filing_date,version_count,conflict_count,max_relative_difference,latest_restated_selectable
bkng,BKNG,marketplace_platform,2018,net_income,1,1,NetIncomeLossAvailableToCommonStockholdersBasic,0001075531-21-000019,2021-02-24,3,0,,1
bkng,BKNG,marketplace_platform,2018,total_assets,1,1,Assets,0001075531-20-000011,2020-02-26,2,0,,1
bkng,BKNG,marketplace_platform,2018,total_equity,1,1,StockholdersEquity,0001075531-22-000008,2022-02-23,4,0,,1
bkng,BKNG,marketplace_platform,2019,revenue,1,1,Revenues,0001075531-22-000008,2022-02-23,3,0,,1
bkng,BKNG,marketplace_platform,2019,net_income,1,1,NetIncomeLossAvailableToCommonStockholdersBasic,0001075531-22-000008,2022-02-23,3,0,,1
bkng,BKNG,marketplace_platform,2019,total_assets,1,1,Assets,0001075531-21-000019,2021-02-24,2,0,,1
bkng,BKNG,marketplace_platform,2019,total_equity,1,1,StockholdersEquity,0001075531-23-000016,2023-02-23,4,0,,1
bkng,BKNG,marketplace_platform,2020,revenue,1,1,Revenues,0001075531-23-000016,2023-02-23,3,0,,1
bkng,BKNG,marketplace_platform,2020,net_income,1,1,NetIncomeLossAvailableToCommonStockholdersBasic,0001075531-23-000016,2023-02-23,3,0,,1
bkng,BKNG,marketplace_platform,2020,total_assets,1,1,Assets,0001075531-22-000008,2022-02-23,2,0,,1
bkng,BKNG,marketplace_platform,2020,total_equity,1,1,StockholdersEquity,0001075531-24-000014,2024-02-22,4,0,,1
bkng,BKNG,marketplace_platform,2021,revenue,1,1,Revenues,0001075531-24-000014,2024-02-22,3,0,,1
bkng,BKNG,marketplace_platform,2021,net_income,1,1,NetIncomeLossAvailableToCommonStockholdersBasic,0001075531-24-000014,2024-02-22,3,0,,1
bkng,BKNG,marketplace_platform,2021,total_assets,1,1,Assets,0001075531-23-000016,2023-02-23,2,0,,1
bkng,BKNG,marketplace_platform,2021,total_equity,1,1,StockholdersEquity,0001075531-25-000010,2025-02-20,4,0,,1
bkng,BKNG,marketplace_platform,2022,revenue,1,1,Revenues,0001075531-25-000010,2025-02-20,3,0,,1
bkng,BKNG,marketplace_platform,2022,net_income,1,1,NetIncomeLossAvailableToCommonStockholdersBasic,0001075531-25-000010,2025-02-20,3,0,,1
bkng,BKNG,marketplace_platform,2022,total_assets,1,1,Assets,0001075531-24-000014,2024-02-22,2,0,,1
bkng,BKNG,marketplace_platform,2022,total_equity,1,1,StockholdersEquity,0001075531-26-000009,2026-02-18,4,0,,1
bkng,BKNG,marketplace_platform,2023,revenue,1,1,Revenues,0001075531-26-000009,2026-02-18,3,0,,1
